right_eye_right_corner_x,right_eye_right_corner_y,right_eye_center_x,right_eye_center_y,right_eye_left_corner_x,right_eye_left_corner_y,left_eye_right_corner_x,left_eye_right_corner_y,left_eye_center_x,left_eye_center_y,left_eye_left_corner_x,left_eye_left_corner_y,filename
161,311,265,261,364,277,607,263,727,244,809,284,2022-09-28 14_30_17.257265-1000.jpg
167,312,270,261,357,273,607,263,727,241,810,279,2022-09-28 14_30_17.263595-1001.jpg
175,305,265,252,357,277,619,265,735,246,812,278,2022-09-28 14_30_17.270063-1002.jpg
175,302,271,255,362,276,616,259,734,247,813,280,2022-09-28 14_30_17.276465-1003.jpg
173,305,268,256,356,276,623,261,728,245,810,281,2022-09-28 14_30_17.282336-1004.jpg
172,305,268,260,356,276,626,263,730,242,812,282,2022-09-28 14_30_17.289232-1005.jpg
172,298,268,256,361,279,624,262,725,243,810,279,2022-09-28 14_30_17.296370-1006.jpg
175,304,268,257,353,277,620,258,732,241,810,281,2022-09-28 14_30_17.304394-1007.jpg
174,300,268,260,363,280,617,259,729,243,813,280,2022-09-28 14_30_17.307856-1008.jpg
174,306,272,261,361,279,621,263,732,246,811,280,2022-09-28 14_30_17.313450-1009.jpg
170,304,265,255,352,275,627,258,731,244,805,281,2022-09-28 14_30_17.320024-1010.jpg
173,305,267,259,358,279,613,265,735,242,809,278,2022-09-28 14_30_17.326285-1011.jpg
176,302,269,257,358,276,617,264,737,249,811,285,2022-09-28 14_30_17.332127-1012.jpg
175,297,269,261,361,277,625,262,728,249,807,280,2022-09-28 14_30_17.338628-1013.jpg
169,308,268,258,357,279,620,261,729,244,811,280,2022-09-28 14_30_17.345440-1014.jpg
169,309,268,263,359,275,622,265,730,245,809,280,2022-09-28 14_30_17.351343-1015.jpg
171,309,266,259,357,280,618,261,727,246,807,280,2022-09-28 14_30_17.357379-1016.jpg
173,305,269,260,354,277,622,262,731,249,810,287,2022-09-28 14_30_17.363424-1017.jpg
166,312,264,256,355,277,622,260,728,246,813,284,2022-09-28 14_30_17.370468-1018.jpg
165,314,265,259,350,278,623,264,731,242,808,278,2022-09-28 14_30_17.376133-1019.jpg
167,312,265,263,362,274,616,262,724,245,809,280,2022-09-28 14_30_17.382165-1020.jpg
171,306,271,260,356,276,624,263,729,245,812,284,2022-09-28 14_30_17.389167-1021.jpg
